                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8286,                 3.0811,                 1.5078,                0.01174,                0.45482,                0.23649,                0.14177,                 1.3835,                 3.3637,                 1.1062,              0.0004638,              0.0004638,              0.0004638
                      2,                 1.4561,                 1.7451,                 1.1614,                0.58527,                0.06835,                0.29907,                0.17488,                 1.4414,                 2.8744,                 1.1242,             0.00084706,             0.00084706,             0.00084706
                      3,                 1.3603,                 1.5117,                  1.122,                0.84059,                 0.3674,                 0.4496,                0.25429,                  1.384,                 1.8909,                 1.1673,               0.001136,               0.001136,               0.001136
                      4,                 1.3334,                 1.3403,                 1.1069,                0.76784,                0.37886,                0.43129,                0.25731,                 1.3832,                 1.6593,                 1.1551,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.2907,                 1.2651,                 1.0852,                0.61477,                0.53595,                0.55455,                0.35237,                  1.237,                 1.2447,                 1.0663,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.2809,                   1.15,                 1.0739,                0.60882,                0.54467,                0.58027,                0.36836,                 1.2274,                 1.1683,                 1.0493,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.1967,                 1.0406,                 1.0431,                0.91581,                0.52068,                0.60437,                0.38146,                 1.2037,                 1.0692,                 1.0345,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.1955,                 1.0344,                 1.0405,                0.62187,                0.57467,                0.62779,                0.39515,                 1.2042,                 1.0201,                 1.0308,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.1703,                0.94143,                 1.0098,                0.75037,                0.60771,                0.67194,                0.44187,                 1.1858,                0.97261,                 1.0295,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.1604,                0.91167,                  1.019,                0.71734,                 0.6226,                0.68399,                0.44872,                 1.1763,                0.93422,                 1.0152,             0.00015576,             0.00015576,             0.00015576
